Country_uk|City_uk|AccentCity_uk|Region_uk|Population_uk|Latitude_uk|Longitude_uk|geopoint_uk|processed_city|Country_usa|City_usa|AccentCity_usa|Region_usa|Population_usa|Latitude_usa|Longitude_usa|geopoint_usa|uk_latitude|uk_longitude
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|OH||41.3447222|-83.79722220000001|41.3447222,-83.7972222|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|LA||32.243888899999995|-92.6133333|32.2438889,-92.6133333|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|SC||33.8727778|-80.8169444|33.8727778,-80.8169444|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|GA||31.975833299999998|-84.615|31.9758333,-84.615|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|WI|13080.0|44.8908333|-89.5475|44.8908333,-89.5475|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|TX||33.3488889|-96.6691667|33.3488889,-96.6691667|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|WY||44.6369444|-105.33555559999999|44.6369444,-105.3355556|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|NY||42.4208333|-77.075|42.4208333,-77.075|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|NE||41.194166700000004|-96.7425|41.1941667,-96.7425|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|AL||34.1597222|-88.0319444|34.1597222,-88.0319444|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|MO||39.41111110000001|-94.90138890000001|39.4111111,-94.9013889|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|FL|68254.0|26.1|-80.4|26.1,-80.4|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|ID||42.0372222|-111.97861110000001|42.0372222,-111.9786111|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|PA||40.9413889|-76.1425|40.9413889,-76.1425|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|WV||39.0383333|-80.4675|39.0383333,-80.4675|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|IL||40.7472222|-88.6219444|40.7472222,-88.6219444|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|CT||41.2008333|-73.3811111|41.2008333,-73.3811111|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|OR||45.813888899999995|-118.4236111|45.8138889,-118.4236111|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|MI||41.7702778|-84.09777779999999|41.7702778,-84.0977778|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|CO||37.1327778|-104.8483333|37.1327778,-104.8483333|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|KY||37.4725|-88.0727778|37.4725,-88.0727778|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|MN||45.188888899999995|-92.9844444|45.1888889,-92.9844444|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|VT||43.2911111|-72.79361109999999|43.2911111,-72.7936111|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|NJ||40.535|-74.59111109999999|40.535,-74.5911111|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|ME||45.73305560000001|-67.87861109999999|45.7330556,-67.8786111|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|IA||41.3408333|-95.74083329999999|41.3408333,-95.7408333|54.218442|-13.4312755
gb|weston|Weston|J7||53.916667000000004|-1.7333330000000002|53.916667,-1.733333|weston|us|weston|Weston|MA|11682.0|42.3666667|-71.3036111|42.3666667,-71.3036111|54.218442|-13.4312755
gb|ramsgate|Ramsgate|G5|38624.0|51.333333|1.433333|51.333333,1.433333|ramsgate|us|ramsgate|Ramsgate|VA||37.533888899999994|-77.5994444|37.5338889,-77.5994444|54.218442|-13.4312755
gb|hayes|Hayes|B8||51.366667|0.016666999999999002|51.366667,0.016667|hayes|us|hayes|Hayes|IL||39.8625|-88.28111109999999|39.8625,-88.2811111|54.218442|-13.4312755
gb|hayes|Hayes|B8||51.366667|0.016666999999999002|51.366667,0.016667|hayes|us|hayes|Hayes|VA||37.2780556|-76.5041667|37.2780556,-76.5041667|54.218442|-13.4312755
gb|hayes|Hayes|B8||51.366667|0.016666999999999002|51.366667,0.016667|hayes|us|hayes|Hayes|NC||35.9725|-78.8644444|35.9725,-78.8644444|54.218442|-13.4312755
gb|hayes|Hayes|B8||51.366667|0.016666999999999002|51.366667,0.016667|hayes|us|hayes|Hayes|CA||34.0741667|-118.02194440000001|34.0741667,-118.0219444|54.218442|-13.4312755
gb|hayes|Hayes|B8||51.366667|0.016666999999999002|51.366667,0.016667|hayes|us|hayes|Hayes|AL||31.5027778|-85.0727778|31.5027778,-85.0727778|54.218442|-13.4312755
gb|hayes|Hayes|B8||51.366667|0.016666999999999002|51.366667,0.016667|hayes|us|hayes|Hayes|WA||45.9316667|-122.6761111|45.9316667,-122.6761111|54.218442|-13.4312755
gb|hayes|Hayes|B8||51.366667|0.016666999999999002|51.366667,0.016667|hayes|us|hayes|Hayes|SD||44.3702778|-101.02111109999998|44.3702778,-101.0211111|54.218442|-13.4312755
gb|hayes|Hayes|B8||51.366667|0.016666999999999002|51.366667,0.016667|hayes|us|hayes|Hayes|KY||38.648611100000004|-84.36583329999999|38.6486111,-84.3658333|54.218442|-13.4312755
gb|hayes|Hayes|B8||51.366667|0.016666999999999002|51.366667,0.016667|hayes|us|hayes|Hayes|GA||34.356944399999996|-83.8180556|34.3569444,-83.8180556|54.218442|-13.4312755
gb|hayes|Hayes|B8||51.366667|0.016666999999999002|51.366667,0.016667|hayes|us|hayes|Hayes|WI||44.9997222|-88.42277779999999|44.9997222,-88.4227778|54.218442|-13.4312755
gb|hayes|Hayes|B8||51.366667|0.016666999999999002|51.366667,0.016667|hayes|us|hayes|Hayes|LA||30.108611100000005|-92.92|30.1086111,-92.92|54.218442|-13.4312755
gb|brent|Brent|D4||50.433333000000005|-3.833333|50.433333,-3.833333|brent|us|brent|Brent|LA||32.85805560000001|-93.9819444|32.8580556,-93.9819444|54.218442|-13.4312755
gb|brent|Brent|D4||50.433333000000005|-3.833333|50.433333,-3.833333|brent|us|brent|Brent|GA||32.9816667|-84.0102778|32.9816667,-84.0102778|54.218442|-13.4312755
gb|brent|Brent|D4||50.433333000000005|-3.833333|50.433333,-3.833333|brent|us|brent|Brent|OK||35.3677778|-94.7933333|35.3677778,-94.7933333|54.218442|-13.4312755
gb|brent|Brent|D4||50.433333000000005|-3.833333|50.433333,-3.833333|brent|us|brent|Brent|MO||36.3641667|-89.7355556|36.3641667,-89.7355556|54.218442|-13.4312755
gb|brent|Brent|D4||50.433333000000005|-3.833333|50.433333,-3.833333|brent|us|brent|Brent|KY||39.0547222|-84.4336111|39.0547222,-84.4336111|54.218442|-13.4312755
gb|brent|Brent|D4||50.433333000000005|-3.833333|50.433333,-3.833333|brent|us|brent|Brent|PA||41.1136111|-80.16722220000001|41.1136111,-80.1672222|54.218442|-13.4312755
gb|brent|Brent|D4||50.433333000000005|-3.833333|50.433333,-3.833333|brent|us|brent|Brent|SC||34.0194444|-80.3702778|34.0194444,-80.3702778|54.218442|-13.4312755
